Date,AAPL,MSFT,^GSPC
2020-01-02,73.7859115600586,156.9243927001953,3257.85009765625
2020-01-03,73.06855773925781,154.9703826904297,3234.85009765625
2020-01-06,73.65078735351562,155.3709716796875,3246.280029296875
2020-01-07,73.3044204711914,153.954345703125,3237.179931640625
2020-01-08,74.48359680175781,156.40660095214844,3253.050048828125
2020-01-09,76.06570434570312,158.36058044433594,3274.699951171875
2020-01-10,76.23766326904297,157.6278076171875,3265.35009765625
2020-01-13,77.8664321899414,159.52317810058594,3288.1298828125
2020-01-14,76.81498718261719,158.39964294433594,3283.14990234375
2020-01-15,76.48579406738281,159.4254913330078,3289.2900390625
2020-01-16,77.44387817382812,162.34671020507812,3316.81005859375
2020-01-17,78.30127716064453,163.25527954101562,3329.6201171875
2020-01-21,77.77062225341797,162.66909790039062,3320.7900390625
2020-01-22,78.04822540283203,161.8874969482422,3321.75
2020-01-23,78.4240951538086,162.88406372070312,3325.5400390625
2020-01-24,78.19808959960938,161.24267578125,3295.469970703125
2020-01-27,75.89864349365234,158.54620361328125,3243.6298828125
2020-01-28,78.04576873779297,161.65306091308594,3276.239990234375
2020-01-29,79.67945098876953,164.17364501953125,3273.39990234375
2020-01-30,79.56398010253906,168.80459594726562,3283.659912109375
2020-01-31,76.03622436523438,166.31326293945312,3225.52001953125
2020-02-03,75.82740783691406,170.3677978515625,3248.919921875
2020-02-04,78.33074188232422,175.97569274902344,3297.590087890625
2020-02-05,78.969482421875,175.76080322265625,3334.68994140625
2020-02-06,79.8931884765625,179.40493774414062,3345.780029296875
2020-02-07,78.80721282958984,179.6589813232422,3327.7099609375
2020-02-10,79.1815185546875,184.35830688476562,3352.090087890625
2020-02-11,78.70378875732422,180.19630432128906,3357.75
2020-02-12,80.57283782958984,180.4601287841797,3379.449951171875
2020-02-13,79.99906158447266,179.48313903808594,3373.93994140625
2020-02-14,80.01876068115234,181.08538818359375,3380.159912109375
2020-02-18,78.55358123779297,182.92213439941406,3370.2900390625
2020-02-19,79.69125366210938,183.47073364257812,3386.14990234375
2020-02-20,78.87369537353516,180.6688995361328,3373.22998046875
2020-02-21,77.0884017944336,174.9574737548828,3337.75
2020-02-24,73.4266586303711,167.41412353515625,3225.889892578125
2020-02-25,70.9395523071289,164.6514892578125,3128.2099609375
2020-02-26,72.06491088867188,166.7087860107422,3116.389892578125
2020-02-27,67.3541488647461,154.96263122558594,2978.760009765625
2020-02-28,67.31475067138672,158.7147216796875,2954.219970703125
2020-03-02,73.58180236816406,169.27545166015625,3090.22998046875
2020-03-03,71.24488830566406,161.16387939453125,3003.3701171875
2020-03-04,74.54956817626953,167.08102416992188,3130.1201171875
2020-03-05,72.13140869140625,162.8881072998047,3023.93994140625
2020-03-06,71.17347717285156,158.28369140625,2972.3701171875
2020-03-09,65.54421997070312,147.556396484375,2746.56005859375
2020-03-10,70.26482391357422,157.6469268798828,2882.22998046875
2020-03-11,67.82450866699219,150.5051727294922,2741.3798828125
2020-03-12,61.126502990722656,136.23153686523438,2480.639892578125
2020-03-13,68.4499740600586,155.5994415283203,2711.02001953125
2020-03-16,59.64408493041992,132.6655731201172,2386.1298828125
2020-03-17,62.26664352416992,143.58880615234375,2529.18994140625
2020-03-18,60.74235153198242,137.54428100585938,2398.10009765625
2020-03-19,60.27694320678711,139.8072967529297,2409.389892578125
2020-03-20,56.450233459472656,134.5563201904297,2304.919921875
2020-03-23,55.250999450683594,133.2141876220703,2237.39990234375
2020-03-24,60.79407501220703,145.32275390625,2447.330078125
2020-03-25,60.45917510986328,143.93165588378906,2475.56005859375
2020-03-26,63.640716552734375,152.93475341796875,2630.070068359375
2020-03-27,61.0058479309082,146.65512084960938,2541.469970703125
2020-03-30,62.746822357177734,156.97093200683594,2626.64990234375
2020-03-31,62.618778228759766,154.502197265625,2584.590087890625
2020-04-01,59.3239631652832,149.01608276367188,2470.5
2020-04-02,60.313880920410156,152.10205078125,2526.89990234375
2020-04-03,59.447086334228516,150.7011260986328,2488.64990234375
2020-04-06,64.63310241699219,161.90841674804688,2663.679931640625
2020-04-07,63.88449478149414,160.1646270751953,2659.409912109375
2020-04-08,65.51959991455078,161.77127075195312,2749.97998046875
2020-04-09,65.99238586425781,161.7810516357422,2789.820068359375
2020-04-13,67.28765106201172,162.14353942871094,2761.6298828125
2020-04-14,70.6859130859375,170.16697692871094,2846.06005859375
2020-04-15,70.04073333740234,168.38397216796875,2783.360107421875
2020-04-16,70.59725952148438,173.4390106201172,2799.550048828125
2020-04-17,69.63935089111328,174.9673309326172,2874.56005859375
2020-04-20,68.19386291503906,171.49929809570312,2823.159912109375
2020-04-21,66.08597564697266,164.4065704345703,2736.56005859375
2020-04-22,67.98948669433594,169.99061584472656,2799.31005859375
2020-04-23,67.72599792480469,167.93333435058594,2797.800048828125
2020-04-24,69.68122100830078,170.9996795654297,2836.739990234375
2020-04-27,69.73046112060547,170.5098114013672,2878.47998046875
2020-04-28,68.60016632080078,166.3560791015625,2863.389892578125
2020-04-29,70.8533706665039,173.82110595703125,2939.510009765625
2020-04-30,72.34808349609375,175.56488037109375,2912.429931640625
2020-05-01,71.18334197998047,171.01925659179688,2830.7099609375
2020-05-04,72.19049072265625,175.20242309570312,2842.739990234375
2020-05-05,73.27398681640625,177.08335876464844,2868.43994140625
2020-05-06,74.02998352050781,178.82716369628906,2848.419921875
2020-05-07,74.79582214355469,179.86561584472656,2881.18994140625
2020-05-08,76.57608795166016,180.923583984375,2929.800048828125
2020-05-11,77.7810287475586,182.94174194335938,2930.18994140625
